"","country","continent","iso_alpha","iso_num","cntry_col","cntnt_col","iso2c","variable","measurement"
"58","Guinea","Africa","GIN",324,"#E18417","#A50026","GN","ad_unemp",15.279899597168
"59","Guyana","Americas",NA,NA,NA,NA,"GY","ad_unemp",5.29960012435913
"60","Haiti","Americas","HTI",332,"#F7824D","#A50026","HT","ad_unemp",26.8024997711182
"61","Honduras","Americas","HND",340,"#F88D51","#40004B","HN","ad_unemp",7.64589977264404
"62","Hungary","Europe","HUN",348,"#5FA12D","#7F3B08","HU","ad_unemp",1.46050000190735
"63","Iceland","Europe","ISL",352,"#E6F5D0","#313695","IS","ad_unemp",1.85889995098114
"64","India","Asia","IND",356,"#460552","#276419","IN","ad_unemp",15.2566995620728
"65","Indonesia","Asia","IDN",360,"#4D0A59","#313695","ID","ad_unemp",5.49520015716553
"66","Iran","Asia","IRN",364,"#762A83","#7F3B08","IR","ad_unemp",19.9599990844727
"67","Iraq","Asia","IRQ",368,"#9467A5","#40004B","IQ","ad_unemp",8.85809993743896
"68","Ireland","Europe","IRL",372,"#CCE9A7","#7F3B08","IE","ad_unemp",3.8118999004364
"69","Israel","Asia","ISR",376,"#C2A5CF","#A50026","IL","ad_unemp",2.92370009422302
"70","Italy","Europe","ITA",380,"#3B7D1D","#313695","IT","ad_unemp",5.92010021209717
"71","Japan","Asia","JPN",392,"#611A6D","#40004B","JP","ad_unemp",2.29999995231628
"72","Kazakhstan","Asia",NA,NA,NA,NA,"KZ","ad_unemp",3.71000003814697
"73","Kenya","Africa","KEN",404,"#9B4A06","#40004B","KE","ad_unemp",7.81899976730347
"74","Kiribati","Oceania",NA,NA,NA,NA,"KI","ad_unemp",2.21810007095337
"75","Latvia","Europe",NA,NA,NA,NA,"LV","ad_unemp",3.66219997406006
"76","Lebanon","Asia","LBN",422,"#D4BCDB","#7F3B08","LB","ad_unemp",11.0500001907349
"77","Liberia","Africa","LBR",430,"#FCB661","#276419","LR","ad_unemp",8.09000015258789
"78","Lithuania","Europe",NA,NA,NA,NA,"LT","ad_unemp",2.80290007591248
"79","Luxembourg","Europe",NA,NA,NA,NA,"LU","ad_unemp",4.24580001831055
"80","Madagascar","Africa","MDG",450,"#B35806","#276419","MG","ad_unemp",8.45090007781982
"81","Malawi","Africa","MWI",454,"#C2650A","#40004B","MW","ad_unemp",14.1485004425049
"82","Malaysia","Asia","MYS",458,"#9970AB","#276419","MY","ad_unemp",4.05000019073486
"83","Maldives","Asia",NA,NA,NA,NA,"MV","ad_unemp",3.5271999835968
"84","Mali","Africa","MLI",466,"#D37610","#40004B","ML","ad_unemp",18.5200004577637
"85","Malta","Europe",NA,NA,NA,NA,"MT","ad_unemp",1.9375
"86","Mauritania","Africa","MRT",478,"#FAB25B","#40004B","MR","ad_unemp",13.8659000396729
"87","Mauritius","Africa","MUS",480,"#FDCD8E","#7F3B08","MU","ad_unemp",7.31029987335205
"88","Mexico","Americas","MEX",484,"#B51026","#313695","MX","ad_unemp",4.14979982376099
"89","Micronesia","Oceania",NA,NA,NA,NA,"FM","ad_unemp",5.86329984664917
"90","Moldova","Europe",NA,NA,NA,NA,"MD","ad_unemp",3.10669994354248
"91","Mongolia","Asia","MNG",496,"#DDC8E1","#40004B","MN","ad_unemp",6.99809980392456
"92","Montenegro","Europe","MNE",499,"#DFF2C5","#276419","ME","ad_unemp",10.2890996932983
"93","Morocco","Africa","MAR",504,"#9F4D06","#276419","MA","ad_unemp",30.2800006866455
"94","Mozambique","Africa","MOZ",508,"#AF5606","#40004B","MZ","ad_unemp",7.33209991455078
"95","Myanmar","Asia","MMR",104,"#834492","#276419","MM","ad_unemp",2.28880000114441
"96","Namibia","Africa","NAM",516,"#FDBA67","#313695","NA","ad_unemp",12.1795997619629
"97","Nepal","Asia","NPL",524,"#8B559B","#7F3B08","NP","ad_unemp",8.45820045471191
"98","Netherlands","Europe","NLD",528,"#529624","#276419","NL","ad_unemp",2.47370004653931
"99","New Zealand","Oceania","NZL",554,"#4575B4","#A50026","NZ","ad_unemp",3.97000002861023
