"","country","continent","iso_alpha","iso_num","cntry_col","cntnt_col","iso2c","variable","measurement"
"673","Bolivia","Americas","BOL",68,"#F57748","#7F3B08","BO","CO2",0.00223820394703367
"674","Bosnia and Herzegovina","Europe","BIH",70,"#BFE492","#276419","BA","CO2",0.00488401888494305
"675","Botswana","Africa","BWA",72,"#FDC37B","#40004B","BW","CO2",0.00429087485991053
"676","Brazil","Americas","BRA",76,"#AD0826","#276419","BR","CO2",0.00278830775203876
"677","Bulgaria","Europe","BGR",100,"#8AC34F","#A50026","BG","CO2",0.0057922998097191
"678","Burkina Faso","Africa","BFA",854,"#BE6209","#A50026","BF","CO2",0.000198884449703805
"679","Burundi","Africa","BDI",108,"#E79029","#313695","BI","CO2",5.24449958613933e-05
"680","Cambodia","Asia","KHM",116,"#B797C6","#313695","KH","CO2",0.000473040487669774
"681","Cameroon","Africa","CMR",120,"#BA5F08","#7F3B08","CM","CO2",0.000395787411521724
"682","Central African Republic","Africa","CAF",140,"#F5AA4E","#7F3B08","CF","CO2",6.88238463478688e-05
"683","Chad","Africa","TCD",148,"#DE8013","#7F3B08","TD","CO2",7.12712916651325e-05
"684","Chile","Americas","CHL",152,"#E04430","#7F3B08","CL","CO2",0.00506993049505669
"685","China","Asia","CHN",156,"#40004B","#40004B","CN","CO2",0.00780470069664107
"686","Colombia","Americas","COL",170,"#BE1826","#7F3B08","CO","CO2",0.00190134077062826
"687","Comoros","Africa","COM",174,"#FDD6A2","#276419","KM","CO2",0.000216628220996962
"688","Congo, Dem. Rep.","Africa","COD",180,"#8B4107","#276419","CD","CO2",7.23106695384611e-05
"689","Congo, Rep.","Africa","COG",178,"#F7AE55","#A50026","CG","CO2",0.000814329278721047
"690","Costa Rica","Americas","CRI",188,"#FDB668","#A50026","CR","CO2",0.00187701735220437
"691","Cote d'Ivoire","Africa","CIV",384,"#B75C07","#313695","CI","CO2",0.000613154567244879
"692","Croatia","Europe","HRV",191,"#C6E79C","#313695","HR","CO2",0.00374835555599077
"693","Cuba","Americas","CUB",192,"#EF623E","#276419","CU","CO2",0.00305128664857024
"694","Czech Republic","Europe","CZE",203,"#7BB93E","#313695","CZ","CO2",0.00943176434956237
"695","Denmark","Europe","DNK",208,"#A2D26B","#313695","DK","CO2",0.00612606252240258
"696","Djibouti","Africa","DJI",262,"#FDDCAF","#7F3B08","DJ","CO2",0.0014553522142578
"697","Dominican Republic","Americas","DOM",214,"#F46D43","#313695","DO","CO2",0.00231124803130427
"698","Ecuador","Americas","ECU",218,"#E54E35","#A50026","EC","CO2",0.00319283808579438
"699","Egypt","Africa","EGY",818,"#833D07","#A50026","EG","CO2",0.00251535748481119
"700","El Salvador","Americas","SLV",222,"#FA9856","#276419","SV","CO2",0.000905694607596192
"701","Equatorial Guinea","Africa","GNQ",226,"#FDD9A8","#313695","GQ","CO2",0.00969970301214983
"702","Eritrea","Africa","ERI",232,"#F3A548","#313695","ER","CO2",0.000141998966694758
"703","Ethiopia","Africa","ETH",231,"#873F07","#40004B","ET","CO2",0.000151593712490714
"704","Finland","Europe","FIN",246,"#B2DD7E","#A50026","FI","CO2",0.00902949206446169
"705","France","Europe","FRA",250,"#31701B","#40004B","FR","CO2",0.00496490054763352
"706","Gabon","Africa","GAB",266,"#FDCA88","#313695","GA","CO2",0.00356903552008534
"707","Gambia","Africa","GMB",270,"#FDC074","#A50026","GM","CO2",0.000304070402088655
"708","Germany","Europe","DEU",276,"#276419","#7F3B08","DE","CO2",0.00873634389079472
"709","Ghana","Africa","GHA",288,"#AB5406","#A50026","GH","CO2",0.000632453164465982
"710","Greece","Europe","GRC",300,"#599C28","#313695","GR","CO2",0.00628777905324814
"711","Guatemala","Americas","GTM",320,"#EA5839","#40004B","GT","CO2",0.00145770865784008
"712","Guinea","Africa","GIN",324,"#E18417","#A50026","GN","CO2",0.000246240631358809
"713","Guinea-Bissau","Africa","GNB",624,"#FDC681","#276419","GW","CO2",0.00018434133288407
"714","Haiti","Americas","HTI",332,"#F7824D","#A50026","HT","CO2",0.000336389811655294
"715","Honduras","Americas","HND",340,"#F88D51","#40004B","HN","CO2",0.00126565485839143
"716","Hungary","Europe","HUN",348,"#5FA12D","#7F3B08","HU","CO2",0.00422716979365833
"717","Iceland","Europe","ISL",352,"#E6F5D0","#313695","IS","CO2",0.00657053101536444
"718","India","Asia","IND",356,"#460552","#276419","IN","CO2",0.00201583621497035
"719","Indonesia","Asia","IDN",360,"#4D0A59","#313695","ID","CO2",0.0020764143289778
"720","Iran","Asia","IRN",364,"#762A83","#7F3B08","IR","CO2",0.00935129331724777
"721","Iraq","Asia","IRQ",368,"#9467A5","#40004B","IQ","CO2",0.00612530408582106
"722","Ireland","Europe","IRL",372,"#CCE9A7","#7F3B08","IE","CO2",0.00829051278070111
"723","Israel","Asia","ISR",376,"#C2A5CF","#A50026","IL","CO2",0.0100520874000397
"724","Italy","Europe","ITA",380,"#3B7D1D","#313695","IT","CO2",0.00551030010060753
"725","Jamaica","Americas","JAM",388,"#FDD788","#7F3B08","JM","CO2",0.00266966028951143
"726","Japan","Asia","JPN",392,"#611A6D","#40004B","JP","CO2",0.00952434042019591
"727","Jordan","Asia","JOR",400,"#C6AAD2","#40004B","JO","CO2",0.00436960642094181
"728","Kenya","Africa","KEN",404,"#9B4A06","#40004B","KE","CO2",0.000401195197653749
"729","Korea, Rep.","Asia","KOR",410,"#7E3B8C","#40004B","KR","CO2",0.0119718398835024
"730","Lebanon","Asia","LBN",422,"#D4BCDB","#7F3B08","LB","CO2",0.00613835285332996
"731","Lesotho","Africa","LSO",426,"#FDBD6E","#7F3B08","LS","CO2",0.00122619045844556
"732","Liberia","Africa","LBR",430,"#FCB661","#276419","LR","CO2",0.000292768309505933
"733","Libya","Africa","LBY",434,"#EE9D3C","#40004B","LY","CO2",0.00944127761303209
"734","Madagascar","Africa","MDG",450,"#B35806","#276419","MG","CO2",0.000160510670737274
"735","Malawi","Africa","MWI",454,"#C2650A","#40004B","MW","CO2",9.57536156272504e-05
"736","Malaysia","Asia","MYS",458,"#9970AB","#276419","MY","CO2",0.00978278909481161
"737","Mali","Africa","MLI",466,"#D37610","#40004B","ML","CO2",0.000117338684709971
"738","Mauritania","Africa","MRT",478,"#FAB25B","#40004B","MR","CO2",0.00082870309917387
"739","Mauritius","Africa","MUS",480,"#FDCD8E","#7F3B08","MU","CO2",0.00338005583260451
"740","Mexico","Americas","MEX",484,"#B51026","#313695","MX","CO2",0.00441827709581516
"741","Mongolia","Asia","MNG",496,"#DDC8E1","#40004B","MN","CO2",0.00725074466090051
"742","Montenegro","Europe","MNE",499,"#DFF2C5","#276419","ME","CO2",0.00322927522432003
"743","Morocco","Africa","MAR",504,"#9F4D06","#276419","MA","CO2",0.00177336447732963
"744","Mozambique","Africa","MOZ",508,"#AF5606","#40004B","MZ","CO2",0.000422359226722834
"745","Myanmar","Asia","MMR",104,"#834492","#276419","MM","CO2",0.000452904862821851
"746","Namibia","Africa","NAM",516,"#FDBA67","#313695","NA","CO2",0.00182718336999046
"747","Nepal","Asia","NPL",524,"#8B559B","#7F3B08","NP","CO2",0.000277862720613498
"748","Netherlands","Europe","NLD",528,"#529624","#276419","NL","CO2",0.0100963801399502
"749","New Zealand","Oceania","NZL",554,"#4575B4","#A50026","NZ","CO2",0.00842227397977196
"750","Nicaragua","Americas","NIC",558,"#FDAE61","#7F3B08","NI","CO2",0.000856764227653737
"751","Niger","Africa","NER",562,"#C5690B","#276419","NE","CO2",0.000164938523978343
"752","Nigeria","Africa","NGA",566,"#7F3B08","#7F3B08","NG","CO2",0.00071302615742837
"753","Norway","Europe","NOR",578,"#B9E188","#40004B","NO","CO2",0.0102912181396159
"754","Pakistan","Asia","PAK",586,"#540F60","#7F3B08","PK","CO2",0.000982441329436402
"755","Panama","Americas","PAN",591,"#FDCF80","#313695","PA","CO2",0.00271447575437831
"756","Paraguay","Americas","PRY",600,"#FBA35B","#313695","PY","CO2",0.000855266128075472
"757","Peru","Americas","PER",604,"#D73027","#276419","PE","CO2",0.00215328576280524
"758","Philippines","Asia","PHL",608,"#681F75","#276419","PH","CO2",0.0011600433816172
"759","Poland","Europe","POL",616,"#468A1F","#A50026","PL","CO2",0.00741830277244488
"760","Portugal","Europe","PRT",620,"#66A731","#A50026","PT","CO2",0.0042331538323056
"761","Romania","Europe","ROU",642,"#4B9020","#40004B","RO","CO2",0.00314252352391285
"762","Rwanda","Africa","RWA",646,"#E58C23","#276419","RW","CO2",9.4772829974715e-05
"763","Sao Tome and Principe","Africa","STP",678,"#FEE0B6","#A50026","ST","CO2",0.00056958397426583
"764","Senegal","Africa","SEN",686,"#D0730F","#A50026","SN","CO2",0.000721891995373464
"765","Serbia","Europe","SRB",688,"#74B33A","#276419","RS","CO2",0.00371097936851895
"766","Sierra Leone","Africa","SLE",694,"#EC9936","#A50026","SL","CO2",0.000213053265635533
"767","Singapore","Asia","SGP",702,"#CBB0D5","#276419","SG","CO2",0.0123814363204641
"768","Slovak Republic","Europe","SVK",703,"#AAD875","#7F3B08","SK","CO2",0.00563159444457294
"769","Slovenia","Europe","SVN",705,"#D9EFBB","#40004B","SI","CO2",0.00637677236972096
"770","Somalia","Africa","SOM",706,"#E3881D","#40004B","SO","CO2",6.67548144909408e-05
"771","South Africa","Africa","ZAF",710,"#8F4407","#313695","ZA","CO2",0.0111317280025732
"772","Spain","Europe","ESP",724,"#41831E","#7F3B08","ES","CO2",0.00578459990954849
"773","Sri Lanka","Asia","LKA",144,"#AD8ABD","#40004B","LK","CO2",0.000902613420129188
"774","Sudan","Africa","SDN",736,"#934607","#7F3B08","SD","CO2",0.00036329311691796
"775","Sweden","Europe","SWE",752,"#82BE45","#7F3B08","SE","CO2",0.0048079419666822
"776","Switzerland","Europe","CHE",756,"#9ACD62","#276419","CH","CO2",0.00467338984502415
"777","Syria","Asia","SYR",760,"#B291C1","#276419","SY","CO2",0.00158965535505073
"778","Tanzania","Africa","TZA",834,"#974807","#A50026","TZ","CO2",0.000303150501682764
"779","Thailand","Asia","THA",764,"#7A3288","#A50026","TH","CO2",0.00485971629529526
"780","Togo","Africa","TGO",768,"#F1A142","#276419","TG","CO2",0.000459855945168873
"781","Tunisia","Africa","TUN",788,"#DA7D12","#313695","TN","CO2",0.00280551875516122
"782","Turkey","Europe","TUR",792,"#2C6A1A","#A50026","TR","CO2",0.0048621139466016
"783","Uganda","Africa","UGA",800,"#A75106","#7F3B08","UG","CO2",0.000179261935335953
"784","United Kingdom","Europe","GBR",826,"#36771C","#276419","GB","CO2",0.00690763653387036
"785","Uruguay","Americas","URY",858,"#FDC778","#276419","UY","CO2",0.00195715382991017
"786","Venezuela","Americas","VEN",862,"#DB3A2B","#313695","VE","CO2",0.00710073107330277
"787","Vietnam","Asia","VNM",704,"#6F247B","#313695","VN","CO2",0.00195761467112168
"788","West Bank and Gaza","Asia","PSE",275,"#CFB6D8","#313695","PS","CO2",0.00060685752197678
"789","Zambia","Africa","ZMB",894,"#D77911","#276419","ZM","CO2",0.000383369877579966
"790","Zimbabwe","Africa","ZWE",716,"#CC6F0D","#7F3B08","ZW","CO2",0.000976385864415676
"791","Afghanistan","Asia","AFG",4,"#874D96","#313695","AF","cook",32.44
"792","Albania","Europe","ALB",8,"#D2ECB1","#A50026","AL","cook",77.42
"793","Algeria","Africa","DZA",12,"#A34F06","#313695","DZ","cook",92.62
"794","Angola","Africa","AGO",24,"#C96C0C","#313695","AO","cook",48.05
"795","Antigua and Barbuda","Americas",NA,NA,NA,NA,"AG","cook",98.75
"796","Argentina","Americas","ARG",32,"#C62026","#A50026","AR","cook",98.4
"797","Armenia","Asia",NA,NA,NA,NA,"AM","cook",96.9
"798","Australia","Oceania","AUS",36,"#313695","#7F3B08","AU","cook",100
"799","Austria","Europe","AUT",40,"#92C858","#40004B","AT","cook",100
"800","Azerbaijan","Asia",NA,NA,NA,NA,"AZ","cook",95.54
"801","Bahamas","Americas",NA,NA,NA,NA,"BS","cook",100
"802","Bahrain","Asia","BHR",48,"#E7D4E8","#313695","BH","cook",100
"803","Bangladesh","Asia","BGD",50,"#5B1567","#A50026","BD","cook",17.72
"804","Barbados","Americas",NA,NA,NA,NA,"BB","cook",99.44
"805","Belarus","Europe",NA,NA,NA,NA,"BY","cook",98.18
"806","Belgium","Europe","BEL",56,"#6DAD35","#40004B","BE","cook",100
"807","Belize","Americas",NA,NA,NA,NA,"BZ","cook",85.43
"808","Benin","Africa","BEN",204,"#EA952F","#7F3B08","BJ","cook",6.44
"809","Bhutan","Asia",NA,NA,NA,NA,"BT","cook",52.5
"810","Bolivia","Americas","BOL",68,"#F57748","#7F3B08","BO","cook",64
"811","Bosnia and Herzegovina","Europe","BIH",70,"#BFE492","#276419","BA","cook",63.38
"812","Botswana","Africa","BWA",72,"#FDC37B","#40004B","BW","cook",64.08
"813","Brazil","Americas","BRA",76,"#AD0826","#276419","BR","cook",95.59
"814","Brunei Darussalam","Asia",NA,NA,NA,NA,"BN","cook",100
"815","Bulgaria","Europe","BGR",100,"#8AC34F","#A50026","BG","cook",88.65
"816","Burkina Faso","Africa","BFA",854,"#BE6209","#A50026","BF","cook",8.93000000000001
"817","Burundi","Africa","BDI",108,"#E79029","#313695","BI","cook",0.849999999999995
"818","Cabo Verde","Africa",NA,NA,NA,NA,"CV","cook",71.05
"819","Cambodia","Asia","KHM",116,"#B797C6","#313695","KH","cook",17.69
"820","Cameroon","Africa","CMR",120,"#BA5F08","#7F3B08","CM","cook",23.04
"821","Canada","Americas","CAN",124,"#CE2726","#40004B","CA","cook",100
"822","Central African Republic","Africa","CAF",140,"#F5AA4E","#7F3B08","CF","cook",0.970000000000004
"823","Chad","Africa","TCD",148,"#DE8013","#7F3B08","TD","cook",3.13
"824","Chile","Americas","CHL",152,"#E04430","#7F3B08","CL","cook",92.28
"825","China","Asia","CHN",156,"#40004B","#40004B","CN","cook",59.26
"826","Colombia","Americas","COL",170,"#BE1826","#7F3B08","CO","cook",91.79
"827","Comoros","Africa","COM",174,"#FDD6A2","#276419","KM","cook",9.34
"828","Congo, Dem. Rep.","Africa","COD",180,"#8B4107","#276419","CD","cook",4.02
"829","Congo, Rep.","Africa","COG",178,"#F7AE55","#A50026","CG","cook",24.13
"830","Costa Rica","Americas","CRI",188,"#FDB668","#A50026","CR","cook",93.45
"831","Cote d'Ivoire","Africa","CIV",384,"#B75C07","#313695","CI","cook",18.23
"832","Croatia","Europe","HRV",191,"#C6E79C","#313695","HR","cook",92.7
"833","Cuba","Americas","CUB",192,"#EF623E","#276419","CU","cook",79.44
"834","Cyprus","Europe",NA,NA,NA,NA,"CY","cook",100
"835","Czech Republic","Europe","CZE",203,"#7BB93E","#313695","CZ","cook",97.13
"836","Denmark","Europe","DNK",208,"#A2D26B","#313695","DK","cook",100
"837","Djibouti","Africa","DJI",262,"#FDDCAF","#7F3B08","DJ","cook",11.52
"838","Dominican Republic","Americas","DOM",214,"#F46D43","#313695","DO","cook",90.41
"839","Ecuador","Americas","ECU",218,"#E54E35","#A50026","EC","cook",95.58
"840","Egypt","Africa","EGY",818,"#833D07","#A50026","EG","cook",97.62
"841","El Salvador","Americas","SLV",222,"#FA9856","#276419","SV","cook",86
"842","Equatorial Guinea","Africa","GNQ",226,"#FDD9A8","#313695","GQ","cook",34.39
"843","Eritrea","Africa","ERI",232,"#F3A548","#313695","ER","cook",16.32
"844","Estonia","Europe",NA,NA,NA,NA,"EE","cook",92.89
"845","Eswatini","Africa",NA,NA,NA,NA,"SZ","cook",49.7
"846","Ethiopia","Africa","ETH",231,"#873F07","#40004B","ET","cook",3.51
"847","Fiji","Oceania",NA,NA,NA,NA,"FJ","cook",39.56
"848","Finland","Europe","FIN",246,"#B2DD7E","#A50026","FI","cook",100
"849","France","Europe","FRA",250,"#31701B","#40004B","FR","cook",100
"850","Gabon","Africa","GAB",266,"#FDCA88","#313695","GA","cook",79.12
"851","Gambia","Africa","GMB",270,"#FDC074","#A50026","GM","cook",3.3
"852","Georgia","Asia",NA,NA,NA,NA,"GE","cook",77.79
"853","Germany","Europe","DEU",276,"#276419","#7F3B08","DE","cook",100
"854","Ghana","Africa","GHA",288,"#AB5406","#A50026","GH","cook",21.71
"855","Greece","Europe","GRC",300,"#599C28","#313695","GR","cook",94.29
"856","Grenada","Americas",NA,NA,NA,NA,"GD","cook",96.58
"857","Guatemala","Americas","GTM",320,"#EA5839","#40004B","GT","cook",45.23
"858","Guinea","Africa","GIN",324,"#E18417","#A50026","GN","cook",1.24
"859","Guinea-Bissau","Africa","GNB",624,"#FDC681","#276419","GW","cook",1.52
"860","Guyana","Americas",NA,NA,NA,NA,"GY","cook",74.48
"861","Haiti","Americas","HTI",332,"#F7824D","#A50026","HT","cook",4.34
"862","Honduras","Americas","HND",340,"#F88D51","#40004B","HN","cook",53.1
"863","Hungary","Europe","HUN",348,"#5FA12D","#7F3B08","HU","cook",100
"864","Iceland","Europe","ISL",352,"#E6F5D0","#313695","IS","cook",100
"865","India","Asia","IND",356,"#460552","#276419","IN","cook",41.04
"866","Indonesia","Asia","IDN",360,"#4D0A59","#313695","ID","cook",58.37
"867","Iran","Asia","IRN",364,"#762A83","#7F3B08","IR","cook",98.49
"868","Iraq","Asia","IRQ",368,"#9467A5","#40004B","IQ","cook",97.63
"869","Ireland","Europe","IRL",372,"#CCE9A7","#7F3B08","IE","cook",100
"870","Israel","Asia","ISR",376,"#C2A5CF","#A50026","IL","cook",100
"871","Italy","Europe","ITA",380,"#3B7D1D","#313695","IT","cook",100
"872","Jamaica","Americas","JAM",388,"#FDD788","#7F3B08","JM","cook",90.5
"873","Japan","Asia","JPN",392,"#611A6D","#40004B","JP","cook",100
"874","Jordan","Asia","JOR",400,"#C6AAD2","#40004B","JO","cook",99.06
"875","Kazakhstan","Asia",NA,NA,NA,NA,"KZ","cook",95.34
"876","Kenya","Africa","KEN",404,"#9B4A06","#40004B","KE","cook",13.42
"877","Kiribati","Oceania",NA,NA,NA,NA,"KI","cook",5.52
"878","Korea, Rep.","Asia","KOR",410,"#7E3B8C","#40004B","KR","cook",96.68
"879","Kuwait","Asia","KWT",414,"#E2CEE4","#276419","KW","cook",100
"880","Latvia","Europe",NA,NA,NA,NA,"LV","cook",95.28
"881","Lesotho","Africa","LSO",426,"#FDBD6E","#7F3B08","LS","cook",35.61
"882","Liberia","Africa","LBR",430,"#FCB661","#276419","LR","cook",0.71
"883","Lithuania","Europe",NA,NA,NA,NA,"LT","cook",100
"884","Luxembourg","Europe",NA,NA,NA,NA,"LU","cook",100
"885","Madagascar","Africa","MDG",450,"#B35806","#276419","MG","cook",0.91
"886","Malawi","Africa","MWI",454,"#C2650A","#40004B","MW","cook",2.5
"887","Malaysia","Asia","MYS",458,"#9970AB","#276419","MY","cook",96.3
"888","Maldives","Asia",NA,NA,NA,NA,"MV","cook",93.83
"889","Mali","Africa","MLI",466,"#D37610","#40004B","ML","cook",0.960000000000005
"890","Malta","Europe",NA,NA,NA,NA,"MT","cook",100
"891","Mauritania","Africa","MRT",478,"#FAB25B","#40004B","MR","cook",46.56
"892","Mauritius","Africa","MUS",480,"#FDCD8E","#7F3B08","MU","cook",93.34
"893","Mexico","Americas","MEX",484,"#B51026","#313695","MX","cook",85.35
"894","Micronesia","Oceania",NA,NA,NA,NA,"FM","cook",11.97
"895","Moldova","Europe",NA,NA,NA,NA,"MD","cook",92.19
"896","Mongolia","Asia","MNG",496,"#DDC8E1","#40004B","MN","cook",42.8
"897","Montenegro","Europe","MNE",499,"#DFF2C5","#276419","ME","cook",69.35
"898","Morocco","Africa","MAR",504,"#9F4D06","#276419","MA","cook",96.75
"899","Mozambique","Africa","MOZ",508,"#AF5606","#40004B","MZ","cook",3.69
"900","Myanmar","Asia","MMR",104,"#834492","#276419","MM","cook",18.4
"901","Namibia","Africa","NAM",516,"#FDBA67","#313695","NA","cook",42.2
"902","Nepal","Asia","NPL",524,"#8B559B","#7F3B08","NP","cook",27.62
"903","Netherlands","Europe","NLD",528,"#529624","#276419","NL","cook",100
"904","New Zealand","Oceania","NZL",554,"#4575B4","#A50026","NZ","cook",100
"905","Nicaragua","Americas","NIC",558,"#FDAE61","#7F3B08","NI","cook",52.3
"906","Niger","Africa","NER",562,"#C5690B","#276419","NE","cook",1.91
"907","Nigeria","Africa","NGA",566,"#7F3B08","#7F3B08","NG","cook",4.91
"908","North Macedonia","Europe",NA,NA,NA,NA,"MK","cook",65.63
"909","Norway","Europe","NOR",578,"#B9E188","#40004B","NO","cook",100
"910","Oman","Asia","OMN",512,"#D9C2DE","#A50026","OM","cook",95.22
"911","Pakistan","Asia","PAK",586,"#540F60","#7F3B08","PK","cook",43.32
"912","Panama","Americas","PAN",591,"#FDCF80","#313695","PA","cook",89.01
"913","Papua New Guinea","Oceania",NA,NA,NA,NA,"PG","cook",13.43
"914","Paraguay","Americas","PRY",600,"#FBA35B","#313695","PY","cook",66.22
"915","Peru","Americas","PER",604,"#D73027","#276419","PE","cook",75.06
"916","Philippines","Asia","PHL",608,"#681F75","#276419","PH","cook",43.22
"917","Poland","Europe","POL",616,"#468A1F","#A50026","PL","cook",100
"918","Portugal","Europe","PRT",620,"#66A731","#A50026","PT","cook",100
"919","Qatar","Asia",NA,NA,NA,NA,"QA","cook",98.49
"920","Romania","Europe","ROU",642,"#4B9020","#40004B","RO","cook",85.88
"921","Russia","Europe",NA,NA,NA,NA,"RU","cook",98.25
"922","Rwanda","Africa","RWA",646,"#E58C23","#276419","RW","cook",0.570000000000004
"923","Samoa","Oceania",NA,NA,NA,NA,"WS","cook",32.29
"924","Sao Tome and Principe","Africa","STP",678,"#FEE0B6","#A50026","ST","cook",16.81
"925","Saudi Arabia","Asia","SAU",682,"#905EA1","#A50026","SA","cook",95.96
"926","Senegal","Africa","SEN",686,"#D0730F","#A50026","SN","cook",31.65
"927","Serbia","Europe","SRB",688,"#74B33A","#276419","RS","cook",76.41
"928","Seychelles","Africa",NA,NA,NA,NA,"SC","cook",90.36
"929","Sierra Leone","Africa","SLE",694,"#EC9936","#A50026","SL","cook",0.990000000000002
"930","Singapore","Asia","SGP",702,"#CBB0D5","#276419","SG","cook",100
"931","Slovak Republic","Europe","SVK",703,"#AAD875","#7F3B08","SK","cook",96.58
"932","Slovenia","Europe","SVN",705,"#D9EFBB","#40004B","SI","cook",96.17
"933","Solomon Islands","Oceania",NA,NA,NA,NA,"SB","cook",8.45
"934","Somalia","Africa","SOM",706,"#E3881D","#40004B","SO","cook",2.34
"935","South Africa","Africa","ZAF",710,"#8F4407","#313695","ZA","cook",84.75
"936","South Sudan","Africa",NA,NA,NA,NA,"SS","cook",0.639999999999996
"937","Spain","Europe","ESP",724,"#41831E","#7F3B08","ES","cook",100
"938","Sri Lanka","Asia","LKA",144,"#AD8ABD","#40004B","LK","cook",26.33
"939","St. Lucia","Americas",NA,NA,NA,NA,"LC","cook",97.23
"940","St. Vincent and the Grenadines","Americas",NA,NA,NA,NA,"VC","cook",95.98
"941","Sudan","Africa","SDN",736,"#934607","#7F3B08","SD","cook",41.29
"942","Suriname","Americas",NA,NA,NA,NA,"SR","cook",89.61
"943","Sweden","Europe","SWE",752,"#82BE45","#7F3B08","SE","cook",100
"944","Switzerland","Europe","CHE",756,"#9ACD62","#276419","CH","cook",100
"945","Syria","Asia","SYR",760,"#B291C1","#276419","SY","cook",99.02
"946","Tajikistan","Asia",NA,NA,NA,NA,"TJ","cook",80.41
"947","Tanzania","Africa","TZA",834,"#974807","#A50026","TZ","cook",2.16
"948","Thailand","Asia","THA",764,"#7A3288","#A50026","TH","cook",74.43
"949","Timor-Leste","Asia",NA,NA,NA,NA,"TL","cook",6.92
"950","Togo","Africa","TGO",768,"#F1A142","#276419","TG","cook",6.71
"951","Tonga","Oceania",NA,NA,NA,NA,"TO","cook",59.17
"952","Trinidad and Tobago","Americas","TTO",780,"#FEE090","#A50026","TT","cook",99.26
"953","Tunisia","Africa","TUN",788,"#DA7D12","#313695","TN","cook",99.1
"954","Turkmenistan","Asia",NA,NA,NA,NA,"TM","cook",99.32
"955","Uganda","Africa","UGA",800,"#A75106","#7F3B08","UG","cook",0.770000000000004
"956","Ukraine","Europe",NA,NA,NA,NA,"UA","cook",95.73
"957","United Arab Emirates","Asia",NA,NA,NA,NA,"AE","cook",98.51
"958","United Kingdom","Europe","GBR",826,"#36771C","#276419","GB","cook",100
"959","United States","Americas","USA",840,"#A50026","#40004B","US","cook",100
"960","Uruguay","Americas","URY",858,"#FDC778","#276419","UY","cook",97.97
"961","Uzbekistan","Asia",NA,NA,NA,NA,"UZ","cook",92.1
"962","Vanuatu","Oceania",NA,NA,NA,NA,"VU","cook",12.57
"963","Venezuela","Americas","VEN",862,"#DB3A2B","#313695","VE","cook",96.16
"964","Vietnam","Asia","VNM",704,"#6F247B","#313695","VN","cook",66.92
"965","Zambia","Africa","ZMB",894,"#D77911","#276419","ZM","cook",16.43
"966","Zimbabwe","Africa","ZWE",716,"#CC6F0D","#7F3B08","ZW","cook",29.05
"967","Afghanistan","Asia","AFG",4,"#874D96","#313695","AF","gdpPercap",974.5803384
"968","Albania","Europe","ALB",8,"#D2ECB1","#A50026","AL","gdpPercap",5937.029526
"969","Algeria","Africa","DZA",12,"#A34F06","#313695","DZ","gdpPercap",6223.367465
"970","Angola","Africa","AGO",24,"#C96C0C","#313695","AO","gdpPercap",4797.231267
"971","Argentina","Americas","ARG",32,"#C62026","#A50026","AR","gdpPercap",12779.37964
"972","Australia","Oceania","AUS",36,"#313695","#7F3B08","AU","gdpPercap",34435.36744
"973","Austria","Europe","AUT",40,"#92C858","#40004B","AT","gdpPercap",36126.4927
"974","Bahrain","Asia","BHR",48,"#E7D4E8","#313695","BH","gdpPercap",29796.04834
"975","Bangladesh","Asia","BGD",50,"#5B1567","#A50026","BD","gdpPercap",1391.253792
"976","Belgium","Europe","BEL",56,"#6DAD35","#40004B","BE","gdpPercap",33692.60508
"977","Benin","Africa","BEN",204,"#EA952F","#7F3B08","BJ","gdpPercap",1441.284873
"978","Bolivia","Americas","BOL",68,"#F57748","#7F3B08","BO","gdpPercap",3822.137084
"979","Bosnia and Herzegovina","Europe","BIH",70,"#BFE492","#276419","BA","gdpPercap",7446.298803
"980","Botswana","Africa","BWA",72,"#FDC37B","#40004B","BW","gdpPercap",12569.85177
"981","Brazil","Americas","BRA",76,"#AD0826","#276419","BR","gdpPercap",9065.800825
"982","Bulgaria","Europe","BGR",100,"#8AC34F","#A50026","BG","gdpPercap",10680.79282
"983","Burkina Faso","Africa","BFA",854,"#BE6209","#A50026","BF","gdpPercap",1217.032994
"984","Burundi","Africa","BDI",108,"#E79029","#313695","BI","gdpPercap",430.0706916
"985","Cambodia","Asia","KHM",116,"#B797C6","#313695","KH","gdpPercap",1713.778686
"986","Cameroon","Africa","CMR",120,"#BA5F08","#7F3B08","CM","gdpPercap",2042.09524
"987","Canada","Americas","CAN",124,"#CE2726","#40004B","CA","gdpPercap",36319.23501
"988","Central African Republic","Africa","CAF",140,"#F5AA4E","#7F3B08","CF","gdpPercap",706.016537
"989","Chad","Africa","TCD",148,"#DE8013","#7F3B08","TD","gdpPercap",1704.063724
"990","Chile","Americas","CHL",152,"#E04430","#7F3B08","CL","gdpPercap",13171.63885
"991","China","Asia","CHN",156,"#40004B","#40004B","CN","gdpPercap",4959.114854
"992","Colombia","Americas","COL",170,"#BE1826","#7F3B08","CO","gdpPercap",7006.580419
"993","Comoros","Africa","COM",174,"#FDD6A2","#276419","KM","gdpPercap",986.1478792
"994","Congo, Dem. Rep.","Africa","COD",180,"#8B4107","#276419","CD","gdpPercap",277.5518587
"995","Congo, Rep.","Africa","COG",178,"#F7AE55","#A50026","CG","gdpPercap",3632.557798
